,Classe,ID_bat
32,Comercial,530a3774-82a9-4510-81e2-86fb5712e53d
33,Comercial,3bf3cb3e-9afa-4580-a015-a72594239ea8
34,Comercial,bf7afcc7-555b-402b-a679-3655c4a8bcfd
35,Comercial,63679ca7-b79d-4f3d-96d6-0185996dee2f
36,Comercial,876a83fa-76bb-4ba8-88c7-373f6dab5eb1
37,Comercial,ab119b41-86cd-4e73-adbb-38cd8894fb56
38,Comercial,8ff19f6c-d3a8-4efd-b3c5-cf69e93d921f
39,Comercial,aba6746d-0666-494c-a79e-7b36e9ad7a30
40,Comercial,11331941-5b94-4079-ab47-e536645a4ecb
41,Comercial,0c87227c-578a-4e1d-953b-97da5344c061
42,Comercial,bffe5912-8a3b-4d68-ba31-f105725a908b
43,Comercial,191f0c1d-197a-4e07-b1e4-8b8eba882206
44,Comercial,dd19335e-2eb4-4cd3-a9a1-5efd50295859
45,Comercial,9d723233-16d2-4539-9f02-95d9d25f3493
46,Comercial,e150b2aa-67f6-44d8-8c26-d50ce678cbec
47,Comercial,afa06d5f-44ad-4ac4-9cff-e34865b29deb
48,Comercial,60f2636b-0574-4eb9-be42-eb494f65b70a
49,Comercial,aa2e096f-2bc9-4720-8655-4e05e8b6c733
50,Comercial,6f1fb6f3-841b-453f-8fd4-bd37648be4d2
51,Comercial,96577f65-4c82-4945-8187-a2ed7c6a9c2c
52,Comercial,b849df39-2344-49a9-a116-971ce10893f0
53,Comercial,6ca4c3d0-10dd-4fe1-83a8-bba3c7cd231f
54,Comercial,2e1918b7-90f6-4368-b285-c13eba969099
55,Comercial,9d8d1f1b-2e22-4f3c-b81a-b7694698124b
56,Comercial,0af927e5-9a1b-48a2-94ea-46fa92351d54
57,Comercial,a6cbf149-7ec0-462c-aefc-92a582d28876
58,Comercial,fbb5fd1a-ecad-49f4-8079-2aedca72b1db
59,Comercial,73d7b1cd-5ee4-462f-844d-1878039b5f86
60,Comercial,54af1c8f-28b2-4b5a-b6fb-b671e45b5d75
61,Comercial,944bc649-f153-4a4f-bb4c-edaa2c70dcd3
62,Comercial,a8d30c73-379e-4473-a41f-384b08bf2034
63,Comercial,b18dff13-1f96-4e4c-856f-f3550758e110
64,Comercial,51134b27-e674-4046-86fb-846208e435c1
65,Comercial,d2e246e1-acfe-4131-a8c8-fd76178a5b60
66,Comercial,1f4f9acc-4efd-4a1d-bfee-bf436d3a10fe
67,Comercial,0bbddab0-8d14-4acf-b0e9-f86cd517e02e
68,Comercial,f21d94b1-9b15-4d10-bb5c-6195cfd38890
